0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0.08733861,0.17433527,-1.7220945e-07,0.06800308,0.20878711,-0.01231565,0.03429168,0.22931139,-0.018312447,0.005456088,0.24066651,-0.023807447,-0.015643777,0.24413092,-0.027927555,0.008382866,0.15954944,-0.0041974043,-0.027465858,0.16440517,-0.014703744,-0.044130087,0.18401365,-0.02405753,-0.050658476,0.19917458,-0.029546771,0.0067317924,0.14184882,-0.0032576746,-0.030381294,0.15041058,-0.012115823,-0.045340326,0.17317152,-0.019250397,-0.051099826,0.19066873,-0.023672609,0.008317405,0.13106188,-0.0047094235,-0.028262759,0.13935314,-0.0146530885,-0.041752975,0.16538927,-0.01802896,-0.046362504,0.18573835,-0.018628068,0.011704808,0.12632854,-0.0073074372,-0.020256046,0.1330503,-0.016170787,-0.035036497,0.15152133,-0.018452436,-0.042655263,0.16895503,-0.01824818
0.11680314,0.20787229,-1.0193584e-08,0.095756084,0.25402552,-0.016962549,0.05310688,0.28463328,-0.027180357,0.015720906,0.30066192,-0.036455903,-0.0119001195,0.32121822,-0.045333758,0.028286064,0.26022065,-0.025310569,-0.01003433,0.27303562,-0.044776406,-0.03224403,0.28318077,-0.056264527,-0.04802699,0.29143575,-0.06299401,0.028533649,0.22333255,-0.025948036,-0.010530006,0.22552644,-0.050462198,-0.0032970347,0.23328538,-0.05790914,0.008213736,0.2372416,-0.058581147,0.035526104,0.18723181,-0.028140185,-0.0032219961,0.18481414,-0.052301615,0.01918549,0.20175241,-0.047745258,0.04383459,0.21228155,-0.038137358,0.048019975,0.15270594,-0.03159454,0.012441482,0.1439812,-0.050135512,0.012070112,0.15820952,-0.048959743,0.019456564,0.17105511,-0.043578234
0.14490345,0.21964239,-8.002581e-09,0.13075982,0.27886146,-0.036183856,0.08858439,0.31381676,-0.05694272,0.046424914,0.3172027,-0.06787129,0.02464612,0.31156066,-0.07641872,0.11605122,0.26782906,-0.07356275,0.057991587,0.23286527,-0.09321437,0.04229281,0.24254063,-0.0960026,0.03661945,0.25233656,-0.09525027,0.114814155,0.22511324,-0.060668394,0.037877616,0.22124729,-0.08350249,0.043228664,0.25007007,-0.08027735,0.06372097,0.2626544,-0.07382624,0.10715808,0.19216868,-0.047723964,0.036957595,0.19486184,-0.064525135,0.046322953,0.22138576,-0.05607588,0.06512788,0.23121995,-0.0462916,0.09761837,0.16883451,-0.036592416,0.044202838,0.17861028,-0.042802975,0.04975272,0.20092195,-0.036405046,0.067581706,0.20875028,-0.030806078
0.18878193,0.24303244,-2.1782081e-07,0.18287982,0.30259466,-0.014737095,0.15367234,0.3442394,-0.022634864,0.115932204,0.35218707,-0.027356857,0.089241095,0.33648434,-0.030022208,0.13922516,0.2916858,-0.0211212,0.09941224,0.2973505,-0.025867084,0.1020192,0.31066677,-0.025388928,0.11012251,0.31219453,-0.02450081,0.13235691,0.26102066,-0.015617652,0.09012714,0.28203478,-0.021555856,0.094043344,0.2981088,-0.021434143,0.10617363,0.298049,-0.020678053,0.12777027,0.23788181,-0.010511548,0.08790549,0.26327354,-0.017702276,0.09529177,0.27821732,-0.016394328,0.1073496,0.277236,-0.013995504,0.123351,0.21955886,-0.0056652585,0.09481253,0.24643259,-0.011087288,0.099862665,0.26047093,-0.010063553,0.10965696,0.2597122,-0.008017946
0.21784854,0.3068272,-5.435253e-08,0.2297923,0.34047323,-0.019745156,0.22836305,0.36543494,-0.033935644,0.22080554,0.3657695,-0.044787623,0.21845533,0.35013157,-0.054651804,0.20929492,0.3450778,-0.04152531,0.19911668,0.3760842,-0.05404648,0.20893,0.39846528,-0.05830992,0.2192282,0.40872958,-0.060718898,0.19320703,0.3254918,-0.037387233,0.1750897,0.33962107,-0.05348849,0.17744277,0.34673768,-0.055698056,0.18197562,0.34619695,-0.05617198,0.18009102,0.31003994,-0.03321495,0.16229908,0.31951588,-0.04951332,0.16619302,0.3239422,-0.04911281,0.17143278,0.32072425,-0.046372026,0.1699524,0.30003583,-0.029686626,0.15617111,0.31729418,-0.041869514,0.15882643,0.32230535,-0.041656237,0.16294368,0.32023203,-0.039549403
0.24691513,0.37062195,1.0911575e-07,0.27670476,0.3783518,-0.024753219,0.30305377,0.3866305,-0.045236427,0.32567888,0.37935197,-0.062218387,0.34766957,0.36377883,-0.0792814,0.27936468,0.39846984,-0.061929423,0.29882112,0.45481795,-0.08222588,0.3158408,0.48626378,-0.091230914,0.32833388,0.50526464,-0.096936986,0.25405714,0.38996294,-0.059156816,0.26005226,0.39720732,-0.08542112,0.2608422,0.3953666,-0.08996197,0.2577776,0.39434493,-0.09166591,0.23241177,0.38219804,-0.05591835,0.23669267,0.37575823,-0.08132437,0.23709428,0.3696671,-0.08183129,0.23551595,0.3642125,-0.07874855,0.21655378,0.38051277,-0.053707995,0.21752971,0.38815576,-0.07265174,0.21779019,0.38413978,-0.07324892,0.21623039,0.38075185,-0.07108086
0.27296853,0.34511364,2.7686687e-07,0.26858285,0.38884684,-0.016285438,0.27310792,0.42383045,-0.027923618,0.28007945,0.44166544,-0.039277792,0.29570073,0.43639678,-0.05085066,0.32595304,0.42644563,-0.014688527,0.33892623,0.44005883,-0.026686529,0.34679288,0.45329008,-0.03627375,0.3542066,0.46201932,-0.04249662,0.33446786,0.40713814,-0.014523119,0.3531561,0.4147215,-0.028247086,0.36469826,0.42004067,-0.036001027,0.37576264,0.4248257,-0.04009579,0.33566847,0.38434604,-0.016295252,0.3251946,0.4019548,-0.034429763,0.30852038,0.40870118,-0.03787475,0.29764077,0.4125586,-0.036558095,0.33177197,0.3614743,-0.01929404,0.32205316,0.38443917,-0.033732217,0.30777386,0.3971669,-0.035307556,0.29571596,0.40602458,-0.033898994
0.3159706,0.3961956,3.9732075e-07,0.32264552,0.43576184,-0.0211894,0.32996774,0.4768158,-0.04286259,0.32570538,0.49305946,-0.064406425,0.31657332,0.4844428,-0.08651489,0.3908351,0.46000415,-0.04538502,0.4316725,0.48659828,-0.07402232,0.46100008,0.50223655,-0.09318065,0.48672643,0.51387095,-0.10601466,0.39329717,0.4092351,-0.04922223,0.40401873,0.4251842,-0.07680257,0.40345213,0.4320987,-0.0859537,0.40691772,0.43230498,-0.08975116,0.3790831,0.37138945,-0.05434025,0.35533506,0.41397524,-0.076259285,0.3360464,0.43128476,-0.0716141,0.3266978,0.43279493,-0.06469409,0.35533023,0.34585693,-0.062189545,0.33518562,0.38582,-0.07508303,0.32200766,0.40354645,-0.068508,0.31752163,0.407282,-0.06090527
0.33476335,0.41082308,5.3900663e-07,0.34001428,0.45451698,-0.022351254,0.35196513,0.49283683,-0.03828031,0.3647769,0.49913397,-0.05421338,0.37697154,0.48483577,-0.06950595,0.42128038,0.48085114,-0.028694501,0.45554718,0.504559,-0.051431395,0.48371735,0.5156845,-0.06705157,0.5102638,0.52141356,-0.076777674,0.42657328,0.4351908,-0.031944282,0.46395907,0.42900243,-0.05647444,0.49276537,0.42020747,-0.07064295,0.51803315,0.41059583,-0.07701551,0.41614872,0.39506015,-0.03698103,0.41528532,0.42049468,-0.068352535,0.38613436,0.4457128,-0.07248505,0.3655502,0.45950228,-0.06618174,0.39431438,0.36434966,-0.043709207,0.3876158,0.39472893,-0.06668462,0.3694642,0.42111456,-0.0663468,0.35612643,0.43954328,-0.05963604
0.35347864,0.42849937,5.438595e-07,0.36300817,0.475554,-0.025002826,0.38197953,0.51629406,-0.04153364,0.40080264,0.5136576,-0.057473086,0.41301546,0.4923707,-0.07277797,0.44984975,0.4950543,-0.029676905,0.48390988,0.52341896,-0.052004155,0.51195234,0.536438,-0.066734694,0.5371557,0.5423705,-0.07579262,0.4518334,0.44838336,-0.031986758,0.49396518,0.43488047,-0.059043586,0.52408296,0.42282197,-0.07309002,0.5501814,0.410646,-0.078525655,0.43943197,0.4072152,-0.036459986,0.44641194,0.43264946,-0.072689004,0.41484132,0.45920005,-0.077310525,0.39290187,0.473822,-0.069807574,0.4182048,0.37448442,-0.042405803,0.41934586,0.40625736,-0.069786154,0.39905712,0.4351435,-0.070164405,0.38461483,0.45502472,-0.06308086
0.36954308,0.4348174,5.1862236e-07,0.3806111,0.48049206,-0.02463299,0.3992711,0.5177943,-0.041955937,0.41914272,0.5173525,-0.058471456,0.43282798,0.49790198,-0.07370602,0.46694914,0.49917346,-0.033292305,0.505218,0.52967215,-0.055879984,0.53096217,0.5436085,-0.06939172,0.55370617,0.55166703,-0.077232674,0.4691917,0.45066443,-0.03512818,0.51316655,0.4351512,-0.06387848,0.54267895,0.42374417,-0.07883408,0.5698841,0.4139839,-0.08494745,0.45706278,0.4094351,-0.038511556,0.46409923,0.43737936,-0.074184224,0.43414053,0.46510717,-0.07901895,0.41303417,0.4800373,-0.07206548,0.4360362,0.379193,-0.04320505,0.43807462,0.4130764,-0.06857372,0.41968423,0.4416306,-0.06845582,0.40664348,0.45941597,-0.06145599
0.3790077,0.43276024,5.085459e-07,0.39051858,0.47950235,-0.026637634,0.41043258,0.516516,-0.04460371,0.4290636,0.51858544,-0.06131923,0.44159952,0.4972815,-0.076767124,0.48104942,0.49960086,-0.03342375,0.51793855,0.5298434,-0.05532637,0.54342204,0.54299605,-0.06903478,0.5665595,0.5520506,-0.07757845,0.482109,0.4506498,-0.034774434,0.52457863,0.43375587,-0.063502975,0.5541505,0.4222317,-0.07925541,0.5812233,0.41361818,-0.08643604,0.4684148,0.40894452,-0.03792721,0.47843564,0.43499607,-0.0748571,0.44829836,0.46439445,-0.08128406,0.4268631,0.48018008,-0.07557004,0.44661537,0.37880865,-0.04246726,0.45176965,0.4121704,-0.07019279,0.43165427,0.44109085,-0.07172973,0.41718456,0.4588157,-0.065928884
0.38556707,0.42963374,4.6327966e-07,0.3974746,0.47708035,-0.025332723,0.41729176,0.513392,-0.042426337,0.4352399,0.5180317,-0.058526773,0.44918454,0.49610442,-0.07326498,0.4878706,0.49725562,-0.03271771,0.5267911,0.52538705,-0.053783562,0.55220056,0.5374787,-0.06655501,0.57518595,0.5457186,-0.074545234,0.4893237,0.44745076,-0.034456242,0.53288573,0.42739338,-0.062843874,0.5618482,0.41361016,-0.07832018,0.58862716,0.40350252,-0.0854536,0.47614413,0.4048619,-0.03777903,0.48802432,0.4300878,-0.07372882,0.45819438,0.45914516,-0.07973502,0.43749985,0.47519585,-0.074209504,0.454911,0.37444445,-0.042464554,0.45977733,0.40814024,-0.069337055,0.44101006,0.43750888,-0.071111105,0.4284209,0.45656458,-0.06587021
0.38955888,0.4260202,4.5335983e-07,0.4020576,0.47214827,-0.024824437,0.42299837,0.5092616,-0.041418795,0.44349405,0.507813,-0.05697261,0.4573018,0.4816386,-0.071009494,0.4935867,0.48942858,-0.03148256,0.532675,0.5172368,-0.051672436,0.557148,0.5299117,-0.06367431,0.5794442,0.53877044,-0.071184546,0.49529126,0.44008678,-0.03302605,0.5392688,0.41933954,-0.060816124,0.5684772,0.40601242,-0.07621611,0.5958692,0.39594728,-0.0833605,0.48211598,0.39823002,-0.036055118,0.49330133,0.423387,-0.071567014,0.463761,0.45167968,-0.07781179,0.4435179,0.46610764,-0.072536156,0.4607741,0.36808467,-0.040387787,0.46464983,0.40194544,-0.066800825,0.44687405,0.4312915,-0.06882038,0.43501365,0.4498948,-0.063869126
0.3914731,0.41800922,4.4603755e-07,0.4040916,0.46397224,-0.024529334,0.424865,0.49877694,-0.041227814,0.44418937,0.49939942,-0.056966003,0.45895323,0.47446364,-0.07111259,0.4948702,0.48193797,-0.031462714,0.5347062,0.5079524,-0.051866166,0.5588185,0.52001625,-0.06423766,0.5814595,0.5288263,-0.07208502,0.49684983,0.43320966,-0.033053797,0.5411624,0.40940425,-0.061167013,0.57029665,0.39436802,-0.0769937,0.59858346,0.38322788,-0.0846184,0.48346394,0.39131486,-0.035954848,0.49619097,0.41203728,-0.07081001,0.46617588,0.44074237,-0.07580205,0.44588602,0.45546567,-0.069945045,0.46184704,0.36046508,-0.040219277,0.4670836,0.39013124,-0.06592894,0.44939467,0.41935286,-0.066741705,0.43780604,0.4371451,-0.061099224
0.39209226,0.41193187,4.376266e-07,0.40484327,0.45807615,-0.026553493,0.42639232,0.49339035,-0.043517593,0.44611302,0.49029365,-0.059102554,0.46284387,0.46661764,-0.07303925,0.49678418,0.47452655,-0.03193648,0.5361449,0.5005821,-0.052546483,0.5608981,0.5119427,-0.065330856,0.5836808,0.52036643,-0.073473446,0.4980725,0.42588744,-0.032757204,0.5423888,0.40119538,-0.060703598,0.5716162,0.38574567,-0.07640714,0.599646,0.37464887,-0.08385663,0.48445705,0.38441458,-0.035297852,0.49726617,0.40488818,-0.070909865,0.4665559,0.4333028,-0.07609332,0.44601017,0.44756904,-0.07013078,0.46283734,0.35314465,-0.03934596,0.46897438,0.38202447,-0.06624078,0.4502622,0.4108057,-0.06726626,0.43795264,0.4280459,-0.061486024
0.391162,0.40667543,4.4277834e-07,0.4042065,0.45294583,-0.027867096,0.42564288,0.48847568,-0.045385707,0.44587237,0.4816078,-0.061151575,0.4626121,0.45791203,-0.07521408,0.49593055,0.46889177,-0.033915047,0.5348033,0.49436626,-0.055030163,0.5598188,0.5053435,-0.06784519,0.5826365,0.51283455,-0.0756868,0.49717656,0.41898727,-0.03393422,0.5412879,0.3957816,-0.06245387,0.57109714,0.37969983,-0.078070715,0.59911245,0.3669794,-0.08501486,0.4836003,0.37715706,-0.035743315,0.4935814,0.3990588,-0.071598895,0.4638969,0.4271667,-0.0773659,0.44410565,0.44108278,-0.0714296,0.46232748,0.3458474,-0.03913467,0.46701497,0.37494633,-0.06542233,0.4491256,0.40333474,-0.06652438,0.43745252,0.42093182,-0.06070618
0.38916993,0.4022172,4.4234793e-07,0.40086076,0.44914442,-0.028594736,0.42136687,0.48484012,-0.045689274,0.44049942,0.47807416,-0.060851675,0.45726833,0.45384336,-0.07426107,0.49262565,0.4640455,-0.0331123,0.53198206,0.49057993,-0.052718792,0.55780095,0.49998644,-0.06428229,0.5808772,0.50617445,-0.07136923,0.49351737,0.41531676,-0.032681696,0.5376162,0.3921932,-0.059935667,0.568021,0.3745153,-0.07534195,0.5960601,0.36102745,-0.08229348,0.47987396,0.37385947,-0.034100562,0.49018368,0.39473698,-0.06943465,0.46094847,0.4216092,-0.07580342,0.44116896,0.43535587,-0.07036576,0.4593135,0.34184417,-0.037105963,0.4633495,0.36978823,-0.06390188,0.44505087,0.3985657,-0.06574058,0.43298116,0.4165583,-0.060351152
0.38622618,0.39891088,4.4113284e-07,0.39819202,0.4453331,-0.026800105,0.41844118,0.48162675,-0.04379675,0.43556696,0.47376227,-0.059254948,0.44988334,0.44926786,-0.07333945,0.48970786,0.46382868,-0.033772536,0.52876276,0.49046758,-0.054167587,0.5543958,0.5008664,-0.066316,0.5773296,0.5071341,-0.07369508,0.49109864,0.4132033,-0.03438382,0.5357125,0.38991553,-0.06149945,0.56586075,0.37246048,-0.07646676,0.59436107,0.35838243,-0.083106846,0.47739255,0.37088856,-0.036619723,0.48691636,0.39119783,-0.0711947,0.45750326,0.41815385,-0.07700857,0.43834448,0.43126667,-0.07143108,0.4560924,0.33862913,-0.040348098,0.45833716,0.36735508,-0.06586458,0.44027066,0.39621207,-0.066816345,0.42907152,0.4145474,-0.06106293
0.38254488,0.39643648,4.3705043e-07,0.39375848,0.44290802,-0.026644291,0.41373685,0.4792905,-0.04342211,0.43120158,0.4733442,-0.058739994,0.44655848,0.44925478,-0.072604254,0.48514053,0.46258688,-0.03358417,0.52540845,0.48932558,-0.054144476,0.55160135,0.49997598,-0.066166684,0.57476205,0.5065851,-0.07337136,0.48637262,0.41182756,-0.034680422,0.53187853,0.3891233,-0.062053468,0.5623757,0.37166947,-0.07704188,0.59119093,0.35756403,-0.08360505,0.47280338,0.36888087,-0.03747019,0.48270816,0.389995,-0.072656624,0.45261943,0.41637856,-0.07838975,0.43352988,0.4294429,-0.07260166,0.45153007,0.33588833,-0.04174307,0.45489815,0.36451936,-0.067940734,0.43647215,0.39412597,-0.0689636,0.42522392,0.41359627,-0.06313529
0.37992477,0.3978266,4.5457818e-07,0.39203244,0.44405293,-0.026875684,0.4116472,0.4803056,-0.044438142,0.42923617,0.47220254,-0.06047085,0.44286856,0.44489413,-0.075127356,0.4834695,0.46144322,-0.034188095,0.5227728,0.48838738,-0.054958228,0.5485684,0.4996704,-0.067279786,0.5713439,0.50667447,-0.0747151,0.48456758,0.4107922,-0.03519315,0.5306698,0.3890636,-0.063001126,0.56115615,0.37215388,-0.07831245,0.58940613,0.3580111,-0.08507328,0.4705646,0.367829,-0.0377986,0.48027873,0.38840196,-0.07324276,0.4506697,0.41541255,-0.07928159,0.43129256,0.42894065,-0.07362691,0.44910514,0.3346616,-0.04181207,0.45271468,0.36250675,-0.06782706,0.4338001,0.39184123,-0.06862415,0.42185485,0.41059268,-0.062681146
0.3788906,0.39863828,4.8637685e-07,0.3897283,0.44452435,-0.029120682,0.40861195,0.4812374,-0.048572782,0.42587796,0.47301245,-0.06615043,0.4402014,0.44640538,-0.082150795,0.48122942,0.46128464,-0.037760444,0.52133095,0.48813978,-0.060466804,0.54750425,0.4995025,-0.07381476,0.5712066,0.5060666,-0.081879556,0.48260993,0.40964913,-0.038159434,0.5289108,0.3890515,-0.068219654,0.5584979,0.37303984,-0.084296525,0.5875965,0.35879752,-0.09122224,0.46875137,0.36637798,-0.040190488,0.4768469,0.3893288,-0.07707371,0.4458713,0.4156652,-0.082183674,0.42681614,0.42737556,-0.07555512,0.44722646,0.33320504,-0.043887414,0.45000187,0.36254117,-0.070361234,0.4306503,0.39123678,-0.07032203,0.4191883,0.4081814,-0.06361226
0.3755703,0.40219793,5.164504e-07,0.38674176,0.44707057,-0.030157048,0.40687543,0.48384792,-0.049639538,0.42462224,0.4749432,-0.06714554,0.43875352,0.44703466,-0.08298287,0.47990927,0.4603672,-0.03744396,0.5192152,0.488159,-0.06037045,0.54545605,0.50159115,-0.07431969,0.56890994,0.5101609,-0.082696624,0.4810737,0.40912184,-0.037673563,0.52746,0.38982436,-0.06767459,0.558904,0.37359333,-0.084184505,0.5883803,0.3583532,-0.091378935,0.46672446,0.36607856,-0.039792236,0.4755252,0.38873497,-0.07738208,0.4440089,0.41647825,-0.08322525,0.42426586,0.42976436,-0.07685306,0.44453806,0.3335867,-0.043675587,0.44847718,0.36305165,-0.07116043,0.42890924,0.3938176,-0.07179259,0.41710776,0.41326904,-0.06536918
0.37336648,0.39833346,5.302267e-07,0.3853474,0.44591528,-0.03009642,0.4059899,0.48457766,-0.04955759,0.42422867,0.4751513,-0.06688483,0.43812895,0.44582376,-0.08246693,0.47803935,0.46231124,-0.03781448,0.5187923,0.4928333,-0.06029377,0.54502296,0.50571066,-0.07355164,0.569102,0.51351917,-0.081589766,0.47933203,0.41040984,-0.037821345,0.5270214,0.39016822,-0.068152376,0.5582812,0.3744874,-0.08479272,0.5882334,0.3600929,-0.09209264,0.46480757,0.3672958,-0.03948416,0.47447807,0.38854846,-0.07738664,0.4420245,0.41606,-0.08306543,0.4221601,0.42839512,-0.076411456,0.4428313,0.33435112,-0.042793877,0.4466558,0.36323905,-0.07056282,0.4259971,0.39363375,-0.070993274,0.41393813,0.4115565,-0.064294964
0.37045354,0.40061086,5.5214923e-07,0.38207924,0.4510922,-0.032507412,0.40243128,0.48956263,-0.05416864,0.4206741,0.48072022,-0.0735584,0.43642733,0.4523581,-0.09116485,0.47652918,0.4688668,-0.043281894,0.5184934,0.49822816,-0.069003254,0.5454012,0.5122613,-0.08373375,0.569877,0.52112675,-0.09245724,0.47785965,0.41433796,-0.043264374,0.52533716,0.3930964,-0.078291535,0.5571041,0.37644953,-0.096333385,0.5874414,0.36128688,-0.10388928,0.4632781,0.36923552,-0.045059375,0.47110105,0.39011353,-0.0867044,0.4367276,0.41933537,-0.09210123,0.4157152,0.43395892,-0.084391035,0.44105992,0.33498293,-0.048727356,0.4433129,0.36409217,-0.078490965,0.42237476,0.3954346,-0.079138026,0.41130558,0.41467333,-0.07226042
